Estalvis	Habitatge	Morositat
Menys_50000	Propietat	Si
Menys_50000	Propietat	Si
Menys_50000	Propietat	Si
Menys_50000	Propietat	Si
Menys_50000	Propietat	Si
Menys_50000	Propietat	Si
Menys_50000	Propietat	Si
Menys_50000	Lloguer	Si
Menys_50000	Lloguer	Si
Menys_50000	Lloguer	Si
Menys_50000	Lloguer	Si
Menys_50000	Altres	Si
Mes_50000	Altres	Si
Mes_50000	Altres	Si
Mes_50000	Altres	Si
Mes_50000	Altres	Si
Menys_50000	Propietat	No
Mes_50000	Lloguer	No
Mes_50000	Lloguer	No
Mes_50000	Lloguer	No
Mes_50000	Lloguer	No
Mes_50000	Lloguer	No
Mes_50000	Lloguer	No
Mes_50000	Altres	No
Mes_50000	Altres	No
Mes_50000	Altres	No
Mes_50000	Altres	No
Mes_50000	Altres	No
Mes_50000	Altres	No
Mes_50000	Altres	No
