Edat	Lectura	Escriptura	Natiu
5	25	32	si
6	26	37	si
11	30	50	no
7	29	40	si
11	32	55	si
10	30	53	si
7	27	34	no
11	31	56	si
5	26	32	si
7	27	34	no
11	32	55	si
10	29	51	si
9	29	42	no
6	27	30	no
5	24	26	no
6	26	35	si
5	25	26	no
6	26	31	no
9	28	42	no
5	25	32	si
6	25	30	no
6	27	29	no
8	29	38	no
9	30	49	si
10	31	52	si
7	27	34	no
6	27	35	si
8	28	44	si
11	32	49	no
8	28	44	si
9	29	49	si
7	27	40	si
9	29	42	no
9	28	42	no
7	25	40	si
8	28	44	si
7	25	34	no
11	31	56	si
11	31	56	si
11	31	57	si
5	26	26	no
5	24	25	no
7	28	33	no
10	30	46	no
8	29	43	si
7	27	39	si
8	28	45	si
6	26	29	no
8	30	44	si
8	27	44	si
8	26	38	no
6	26	36	si
9	30	43	no
7	28	34	no
10	29	53	si
10	29	52	si
7	25	40	si
10	29	46	no
11	30	50	no
8	29	38	no
10	29	52	si
7	27	34	no
7	28	33	no
11	31	50	no
10	29	51	si
5	25	32	si
8	27	38	no
11	30	50	no
7	28	34	no
10	30	52	si
7	26	40	si
7	27	35	no
10	30	51	si
5	24	25	no
9	31	43	no
7	27	39	si
8	29	44	si
5	24	32	si
7	27	33	no
10	30	47	no
9	29	41	no
6	26	30	no
9	28	42	no
8	27	38	no
10	31	45	no
9	30	49	si
9	28	42	no
11	29	56	si
9	28	48	si
8	28	37	no
8	27	37	no
10	31	52	si
5	24	26	no
7	27	34	no
7	25	40	si
6	27	30	no
7	26	41	si
10	28	53	si
7	28	40	si
11	32	57	si
8	29	44	si
8	25	44	si
7	27	34	no
8	28	38	no
10	29	46	no
9	29	42	no
11	32	51	no
6	26	36	si
7	28	34	no
9	30	48	si
9	28	42	no
8	29	44	si
7	27	39	si
10	30	51	si
5	24	25	no
9	29	48	si
7	28	35	no
8	28	43	si
9	29	43	no
6	27	29	no
10	30	46	no
5	26	32	si
7	27	40	si
8	28	44	si
9	28	42	no
9	28	48	si
10	30	52	si
11	32	56	si
7	27	40	si
5	25	26	no
8	28	38	no
10	30	46	no
8	28	44	si
6	27	29	no
10	30	52	si
6	26	31	no
6	25	31	no
11	32	56	si
5	25	26	no
8	28	38	no
7	28	34	no
8	29	37	no
6	26	29	no
7	26	40	si
9	29	42	no
5	25	26	no
10	30	52	si
5	25	25	no
10	29	46	no
5	25	32	si
7	27	33	no
8	29	44	si
6	26	36	si
9	30	48	si
11	29	56	si
11	30	56	si
10	31	52	si
6	26	31	no
5	24	27	no
5	23	31	si
6	26	36	si
8	30	44	si
5	27	26	no
9	30	48	si
6	27	31	no
9	30	42	no
5	24	26	no
9	28	49	si
5	28	26	no
9	29	42	no
8	28	37	no
8	27	43	si
6	26	36	si
10	31	46	no
10	31	46	no
6	26	36	si
6	27	36	si
9	30	42	no
7	28	40	si
7	27	40	si
7	26	34	no
11	32	51	no
11	31	56	si
5	25	32	si
6	26	35	si
6	25	36	si
11	31	56	si
8	28	45	si
9	30	43	no
9	29	48	si
6	26	30	no
10	29	51	si
11	31	50	no
7	26	34	no
10	29	50	si
8	26	38	no
5	24	32	si
7	28	40	si
7	27	34	no
8	27	39	no
