id_viatge	dia_setmana	franja	estacio_any	tipus_servei	num_parades	dist_km	ocupacio	vent	pluja	visibilitat	retard_min	puntualitat
1	dg	mati	hivern	alta_velocitat	2	4356	baixa	moderat	febla	dolenta	34	molt_tard
2	dv	migdia	tardor	mitja_distancia	2	1618	mitjana	moderat	cap	bona	4	puntual
3	dc	mati	estiu	regional	12	557	mitjana	cap	cap	regular	0	puntual
4	dt	mati	estiu	mitja_distancia	6	2188	baixa	cap	cap	dolenta	1	puntual
5	dg	tarda	estiu	regional	6	711	baixa	moderat	cap	bona	14	tard
6	dl	migdia	tardor	mitja_distancia	12	2693	mitjana	cap	febla	bona	5	puntual
7	ds	nit	hivern	mitja_distancia	13	1891	mitjana	moderat	cap	regular	14	tard
8	dv	migdia	tardor	regional	5	480	mitjana	cap	cap	bona	7	tard
9	ds	tarda	primavera	regional	8	473	mitjana	cap	cap	bona	0	puntual
10	dt	migdia	hivern	mitja_distancia	6	3072	mitjana	cap	cap	regular	8	tard
11	ds	tarda	estiu	regional	6	435	baixa	cap	cap	bona	0	puntual
12	dt	tarda	hivern	alta_velocitat	4	5568	mitjana	fort	cap	regular	17	molt_tard
13	dv	migdia	tardor	mitja_distancia	2	1533	baixa	cap	febla	bona	6	tard
14	dg	nit	tardor	mitja_distancia	11	1179	mitjana	moderat	cap	bona	3	puntual
15	dv	migdia	tardor	regional	9	822	baixa	cap	intensa	dolenta	8	tard
16	dt	mati	tardor	mitja_distancia	11	2828	baixa	fort	febla	bona	29	molt_tard
17	dl	tarda	estiu	alta_velocitat	2	4157	mitjana	cap	cap	bona	0	puntual
18	dg	tarda	hivern	regional	8	504	mitjana	cap	cap	bona	0	puntual
19	dl	mati	tardor	regional	4	278	mitjana	cap	febla	bona	0	puntual
20	ds	migdia	estiu	regional	12	219	mitjana	cap	febla	bona	16	molt_tard
21	dc	nit	estiu	regional	14	260	alta	fort	cap	bona	3	puntual
22	dv	tarda	primavera	mitja_distancia	11	1398	alta	fort	intensa	regular	30	molt_tard
23	ds	nit	primavera	mitja_distancia	3	1599	alta	cap	febla	dolenta	29	molt_tard
24	dv	migdia	hivern	mitja_distancia	10	2506	mitjana	cap	cap	bona	0	puntual
25	dl	tarda	tardor	regional	8	423	mitjana	cap	febla	bona	3	puntual
26	dg	migdia	estiu	regional	8	424	mitjana	cap	cap	bona	2	puntual
27	dt	nit	primavera	regional	7	677	mitjana	cap	febla	bona	0	puntual
28	dt	migdia	tardor	alta_velocitat	2	2017	mitjana	cap	febla	regular	3	puntual
29	ds	tarda	estiu	mitja_distancia	6	2187	mitjana	moderat	cap	bona	15	tard
30	dc	migdia	estiu	regional	6	568	baixa	moderat	cap	regular	10	tard
31	ds	tarda	estiu	mitja_distancia	10	1464	baixa	cap	cap	bona	28	molt_tard
32	dl	tarda	primavera	regional	11	365	alta	cap	febla	bona	4	puntual
33	dl	migdia	hivern	regional	9	662	baixa	cap	cap	dolenta	0	puntual
34	dt	nit	estiu	regional	7	467	mitjana	cap	febla	bona	5	puntual
35	dv	migdia	tardor	alta_velocitat	2	4193	mitjana	cap	cap	regular	0	puntual
36	dv	tarda	hivern	mitja_distancia	8	1982	baixa	moderat	cap	regular	1	puntual
37	dl	migdia	tardor	mitja_distancia	7	2995	alta	cap	febla	bona	11	tard
38	dj	migdia	tardor	regional	12	172	baixa	moderat	cap	bona	18	molt_tard
39	ds	migdia	primavera	regional	15	599	alta	moderat	cap	bona	5	puntual
40	dt	mati	estiu	mitja_distancia	5	2609	mitjana	moderat	cap	regular	8	tard
41	dg	mati	primavera	regional	7	830	baixa	moderat	cap	dolenta	9	tard
42	ds	tarda	tardor	alta_velocitat	3	4203	baixa	cap	cap	bona	3	puntual
43	ds	tarda	tardor	mitja_distancia	9	2412	mitjana	cap	cap	bona	1	puntual
44	ds	tarda	primavera	regional	16	669	mitjana	cap	cap	bona	13	tard
45	ds	mati	hivern	mitja_distancia	2	1599	baixa	fort	cap	bona	0	puntual
46	dg	migdia	hivern	alta_velocitat	4	2502	alta	fort	cap	regular	12	tard
47	dj	mati	estiu	mitja_distancia	7	1758	baixa	cap	cap	regular	0	puntual
48	ds	tarda	tardor	mitja_distancia	5	1502	alta	cap	cap	bona	7	tard
49	dv	nit	tardor	alta_velocitat	3	3255	baixa	cap	intensa	bona	0	puntual
50	dg	mati	tardor	regional	10	626	alta	cap	cap	bona	12	tard
51	dg	tarda	tardor	alta_velocitat	2	4607	baixa	fort	cap	bona	0	puntual
52	dj	mati	primavera	regional	4	285	mitjana	cap	cap	bona	0	puntual
53	dt	mati	primavera	mitja_distancia	10	3465	mitjana	cap	febla	regular	16	molt_tard
54	dv	mati	estiu	mitja_distancia	5	2537	baixa	cap	febla	bona	4	puntual
55	dt	mati	estiu	mitja_distancia	4	1805	alta	cap	febla	bona	0	puntual
56	dj	tarda	hivern	mitja_distancia	5	1078	baixa	cap	febla	dolenta	18	molt_tard
57	ds	nit	estiu	mitja_distancia	9	2529	mitjana	moderat	cap	bona	0	puntual
58	dc	mati	hivern	regional	8	407	mitjana	cap	intensa	bona	7	tard
59	dl	migdia	tardor	regional	7	837	mitjana	cap	cap	regular	4	puntual
60	dg	tarda	tardor	regional	10	670	baixa	cap	febla	bona	13	tard
61	dc	nit	hivern	mitja_distancia	7	2015	baixa	cap	febla	bona	1	puntual
62	dl	tarda	tardor	regional	7	487	baixa	cap	febla	bona	5	puntual
63	dc	mati	primavera	regional	4	367	mitjana	cap	cap	bona	10	tard
64	ds	tarda	hivern	alta_velocitat	4	4062	baixa	cap	febla	bona	14	tard
65	dv	migdia	primavera	regional	9	305	alta	cap	cap	bona	4	puntual
66	dt	nit	primavera	regional	3	846	mitjana	moderat	cap	bona	3	puntual
67	dj	migdia	tardor	regional	13	582	mitjana	moderat	cap	regular	1	puntual
68	dv	tarda	primavera	regional	3	788	mitjana	moderat	cap	bona	6	tard
69	dt	mati	hivern	mitja_distancia	5	2162	baixa	cap	cap	bona	0	puntual
70	ds	migdia	estiu	regional	6	823	mitjana	moderat	cap	bona	3	puntual
71	ds	nit	tardor	regional	7	637	baixa	moderat	cap	dolenta	25	molt_tard
72	dt	tarda	primavera	alta_velocitat	2	4204	mitjana	cap	cap	bona	0	puntual
73	dc	migdia	estiu	alta_velocitat	1	3932	mitjana	cap	cap	regular	0	puntual
74	dl	nit	hivern	mitja_distancia	7	2070	mitjana	cap	cap	bona	14	tard
75	dl	nit	tardor	alta_velocitat	4	2260	alta	moderat	febla	regular	15	tard
76	dl	migdia	estiu	alta_velocitat	3	3988	baixa	cap	cap	bona	2	puntual
77	dj	migdia	primavera	regional	9	841	mitjana	cap	febla	bona	0	puntual
78	dl	migdia	primavera	mitja_distancia	6	2441	baixa	fort	cap	bona	12	tard
79	ds	tarda	estiu	mitja_distancia	7	2369	mitjana	cap	cap	bona	8	tard
80	dt	migdia	tardor	regional	10	777	mitjana	fort	cap	bona	0	puntual
81	dc	mati	hivern	regional	11	960	baixa	moderat	cap	bona	20	molt_tard
82	dl	nit	estiu	regional	7	539	mitjana	moderat	cap	bona	2	puntual
83	dv	nit	hivern	mitja_distancia	5	1773	mitjana	moderat	cap	bona	0	puntual
84	dv	tarda	tardor	mitja_distancia	2	1221	baixa	cap	cap	bona	5	puntual
85	dl	nit	estiu	mitja_distancia	11	948	alta	moderat	cap	bona	3	puntual
86	ds	tarda	tardor	regional	14	486	mitjana	moderat	cap	dolenta	6	tard
87	dc	tarda	hivern	regional	8	751	mitjana	moderat	cap	bona	0	puntual
88	dv	tarda	primavera	mitja_distancia	7	975	mitjana	cap	febla	bona	0	puntual
89	dc	migdia	tardor	mitja_distancia	10	2841	alta	cap	cap	regular	7	tard
90	dv	migdia	tardor	alta_velocitat	1	4529	baixa	cap	cap	bona	1	puntual
91	dg	mati	estiu	alta_velocitat	1	3051	mitjana	cap	cap	bona	3	puntual
92	dt	tarda	tardor	alta_velocitat	5	5734	mitjana	cap	cap	bona	2	puntual
93	dt	mati	tardor	alta_velocitat	2	4435	mitjana	moderat	cap	bona	2	puntual
94	dj	mati	primavera	alta_velocitat	1	6058	mitjana	moderat	cap	bona	2	puntual
95	dl	tarda	tardor	mitja_distancia	8	1829	alta	moderat	cap	bona	17	molt_tard
96	dc	migdia	primavera	regional	7	434	mitjana	cap	cap	regular	7	tard
97	ds	mati	primavera	regional	13	472	mitjana	cap	cap	bona	14	tard
98	dg	tarda	tardor	regional	9	1129	mitjana	cap	cap	bona	1	puntual
99	dj	nit	estiu	regional	7	583	alta	cap	cap	bona	9	tard
100	dv	mati	hivern	regional	7	650	alta	cap	intensa	bona	14	tard
101	dv	mati	tardor	alta_velocitat	3	4084	mitjana	cap	cap	regular	3	puntual
102	dv	migdia	primavera	regional	8	549	baixa	cap	cap	bona	10	tard
103	dt	tarda	tardor	alta_velocitat	2	3977	baixa	cap	cap	bona	16	molt_tard
104	dv	tarda	hivern	mitja_distancia	8	1557	mitjana	cap	febla	bona	0	puntual
105	ds	mati	tardor	mitja_distancia	10	826	alta	cap	febla	regular	6	tard
106	dc	tarda	tardor	mitja_distancia	8	1875	mitjana	cap	febla	bona	6	tard
107	dg	mati	tardor	regional	6	831	baixa	moderat	cap	regular	7	tard
